,Target
1228,4
1229,4
1230,4
1231,2
1232,2
1233,2
1234,2
1235,4
1236,4
1237,4
1238,4
1239,4
1240,4
1241,4
1242,4
1243,4
1244,3
1245,3
1246,3
1247,3
1248,4
1249,4
1250,4
1251,4
1252,4
1253,4
1254,4
1255,4
1256,4
1257,4
1258,4
1259,4
1260,4
1261,4
1262,4
1263,4
1264,4
1265,4
1266,4
1267,4
1268,3
1269,4
1270,4
1271,4
1272,1
1273,2
1274,2
1275,4
1276,4
1277,4
1278,3
1279,3
1280,3
1281,3
1282,3
1283,3
1284,4
1285,4
1286,4
1287,4
1288,4
1289,4
1290,4
1291,4
1292,4
1293,4
1294,4
1295,4
1296,4
1297,4
1298,4
1299,4
1300,4
1301,4
1302,4
1303,4
1304,4
1305,4
1306,4
1307,4
1308,4
1309,4
1310,4
1311,4
1312,4
1313,4
1314,4
1315,4
1316,4
1317,4
1318,4
1319,4
1320,4
1321,4
1322,4
1323,4
1324,4
1325,4
1326,4
1327,3
1328,3
1329,3
1330,3
1331,2
1332,2
1333,2
1334,2
1335,4
1336,4
1337,2
1338,4
1339,4
1340,4
1341,4
1342,4
1343,4
1344,2
1345,2
1346,2
1347,2
1348,4
1349,3
1350,3
1351,3
1352,3
1353,3
1354,4
1355,4
1356,4
1357,4
1358,4
1359,4
1360,4
1361,4
1362,4
1363,4
1364,4
1365,4
1366,4
1367,4
1368,4
1369,4
1370,4
1371,4
1372,3
1373,4
1374,4
1375,4
1376,4
1377,4
1378,4
1379,4
1380,4
1381,4
1382,4
1383,4
1384,4
1385,4
1386,4
1387,4
1388,4
1389,4
1390,4
1391,4
1392,2
1393,2
1394,2
1395,2
1396,2
1397,2
1398,1
1399,1
1400,1
1401,1
1402,1
1403,1
1404,1
1405,4
1406,3
1407,2
1408,3
1409,3
1410,3
1411,4
1412,4
1413,4
1414,4
1415,4
1416,4
1417,4
1418,4
1419,4
1420,4
1421,4
1422,2
1423,2
1424,2
1425,4
1426,4
1427,4
1428,4
1429,4
1430,4
1431,4
1432,4
1433,1
1434,1
1435,1
1436,4
1437,4
1438,4
1439,4
1440,3
1441,3
1442,4
1443,4
1444,4
1445,4
1446,4
1447,4
1448,4
1449,1
1450,1
1451,1
1452,1
1453,1
1454,3
1455,3
1456,3
1457,3
1458,4
1459,4
1460,4
1461,4
1462,4
1463,4
1464,4
1465,4
1466,1
1467,1
1468,4
1469,4
1470,4
1471,4
1472,4
1473,4
1474,4
1475,4
1476,4
1477,4
1478,4
1479,4
1480,4
1481,1
1482,1
1483,4
1484,4
1485,4
1486,2
1487,2
1488,4
1489,4
1490,4
1491,4
1492,4
1493,4
1494,4
1495,4
1496,4
1497,4
1498,4
1499,4
1500,4
1501,3
1502,3
1503,4
1504,4
1505,4
1506,2
1507,2
1508,2
1509,4
1510,4
1511,4
1512,4
1513,4
1514,4
1515,4
1516,4
1517,4
1518,4
1519,4
1520,4
1521,2
1522,2
1523,2
1524,2
1525,4
1526,4
1527,4
1528,4
1529,4
1530,4
1531,1
1532,1
1533,4
1534,4
1535,4
1536,4
1537,4
1538,4
1539,4
1540,4
1541,4
1542,4
1543,4
1544,4
1545,4
1546,4
1547,4
1548,4
1549,4
1550,4
1551,4
1552,4
1553,4
1554,4
1555,4
1556,4
1557,4
1558,4
1559,4
1560,4
1561,4
1562,4
1563,4
1564,4
1565,4
1566,4
1567,4
1568,4
1569,4
1570,4
1571,4
1572,4
1573,4
1574,4
1575,4
1576,4
1577,4
1578,4
1579,4
1580,4
1581,4
1582,4
1583,4
1584,4
1585,4
1586,4
1587,4
1588,4
1589,4
1590,4
1591,4
1592,4
1593,4
1594,4
1595,4
1596,2
1597,3
1598,2
1599,3
1600,2
1601,4
1602,4
1603,4
1604,4
1605,4
1606,4
1607,4
1608,4
1609,4
1610,3
1611,3
1612,3
1613,3
1614,4
1615,4
1616,4
1617,4
1618,4
1619,4
1620,2
1621,2
1622,2
1623,2
1624,2
1625,4
1626,4
1627,4
1628,4
1629,4
1630,4
1631,4
1632,4
1633,4
1634,4
1635,4
1636,4
1637,4
1638,3
1639,3
1640,3
1641,3
1642,4
1643,3
1644,3
1645,3
1646,3
1647,2
1648,2
1649,2
1650,2
1651,2
1652,4
1653,4
1654,4
1655,4
1656,4
1657,4
1658,4
1659,2
1660,2
1661,2
1662,2
1663,2
1664,2
1665,2
1666,1
1667,1
1668,1
1669,4
1670,4
1671,4
1672,4
1673,4
1674,3
1675,3
1676,3
1677,2
1678,2
1679,2
1680,2
1681,2
1682,3
1683,3
1684,3
1685,3
1686,3
1687,3
1688,4
1689,4
1690,2
1691,4
1692,2
1693,4
1694,4
1695,4
1696,4
1697,4
1698,4
1699,4
1700,4
1701,4
1702,4
1703,4
1704,4
1705,4
1706,4
1707,4
1708,4
1709,4
1710,4
1711,4
1712,4
1713,4
1714,2
1715,4
1716,4
1717,4
1718,1
1719,1
1720,1
1721,1
1722,1
1723,2
1724,2
1725,2
1726,2
1727,4
1728,4
1729,4
1730,4
1731,4
1732,4
1733,1
1734,4
1735,4
1736,4
1737,4
1738,3
1739,3
1740,3
1741,4
1742,4
1743,4
1744,4
1745,4
1746,4
1747,4
1748,4
1749,1
1750,1
1751,1
1752,1
1753,1
1754,4
1755,2
1756,2
1757,2
1758,2
1759,2
1760,2
1761,4
1762,4
1763,4
1764,4
1765,4
1766,2
1767,2
1768,2
1769,2
1770,2
1771,2
1772,2
1773,4
1774,4
1775,4
1776,4
1777,4
1778,4
1779,4
1780,4
1781,4
1782,4
1783,4
1784,4
1785,4
1786,4
1787,4
1788,4
1789,4
1790,4
1791,4
1792,4
1793,4
1794,4
1795,4
1796,4
1797,4
1798,4
1799,4
1800,4
1801,4
1802,4
1803,4
1804,4
1805,4
1806,4
1807,4
1808,4
1809,3
1810,3
1811,3
1812,3
1813,3
1814,4
1815,4
1816,4
1817,4
1818,4
1819,4
1820,4
1821,4
1822,4
1823,4
1824,4
1825,4
1826,4
1827,4
1828,4
1829,4
1830,4
1831,4
1832,4
1833,4
1834,4
1835,4
1836,4
1837,4
1838,4
1839,4
1840,4
1841,4
1842,4
1843,4
1844,4
1845,4
1846,4
1847,4
1848,4
1849,4
1850,4
1851,4
1852,4
1853,4
1854,4
1855,4
1856,4
1857,4
1858,4
1859,4
1860,4
1861,4
1862,4
1863,4
1864,4
1865,4
1866,4
1867,4
1868,4
1869,4
1870,4
1871,4
1872,4
1873,4
1874,4
1875,4
1876,4
1877,4
1878,4
1879,4
1880,4
1881,4
1882,4
1883,4
1884,4
1885,4
1886,4
1887,4
1888,2
1889,2
1890,2
1891,2
1892,2
1893,2
1894,2
1895,2
1896,2
1897,2
1898,2
1899,2
1900,2
1901,2
1902,2
1903,4
1904,4
1905,4
1906,4
1907,4
1908,4
1909,4
1910,4
1911,4
1912,4
1913,2
1914,2
1915,2
1916,2
1917,4
1918,4
1919,4
1920,4
1921,4
1922,4
1923,4
1924,4
1925,4
1926,2
1927,2
1928,2
1929,3
1930,3
1931,3
1932,3
1933,4
1934,4
1935,4
1936,4
1937,4
1938,4
1939,4
1940,4
1941,4
1942,4
1943,4
1944,4
1945,4
1946,4
1947,4
1948,4
1949,4
1950,4
1951,4
1952,4
1953,4
1954,4
1955,4
1956,4
1957,4
1958,4
1959,4
1960,4
1961,4
1962,4
1963,4
1964,4
1965,4
1966,4
1967,4
1968,4
1969,4
1970,4
1971,4
1972,4
1973,4
1974,4
1975,4
1976,4
1977,4
1978,4
1979,4
1980,4
1981,4
1982,4
1983,4
1984,4
1985,4
1986,4
1987,4
1988,4
1989,4
1990,4
1991,4
1992,4
1993,4
1994,4
1995,3
1996,4
1997,4
1998,4
1999,4
2000,4
2001,2
2002,2
2003,3
2004,3
2005,3
2006,3
2007,2
2008,2
2009,2
2010,2
2011,4
2012,4
2013,4
2014,4
2015,4
2016,2
2017,2
2018,2
2019,2
2020,2
2021,3
2022,3
2023,3
2024,3
2025,3
2026,3
2027,3
2028,4
2029,4
2030,4
2031,3
2032,4
2033,4
2034,4
2035,4
2036,4
2037,4
2038,4
2039,4
2040,4
2041,4
2042,4
2043,4
2044,4
2045,4
2046,4
2047,4
2048,4
2049,4
2050,4
2051,4
2052,4
2053,4
2054,4
2055,4
2056,4
2057,4
2058,4
2059,4
2060,4
2061,4
2062,4
2063,4
2064,4
2065,4
2066,4
2067,4
2068,4
2069,4
2070,4
2071,4
2072,3
2073,3
2074,3
2075,3
2076,4
2077,4
2078,4
2079,4
2080,4
2081,4
2082,4
2083,4
2084,4
2085,4
2086,4
2087,4
2088,4
2089,4
2090,4
2091,4
2092,4
2093,4
2094,4
2095,4
2096,4
2097,4
2098,4
2099,4
2100,4
2101,4
2102,3
2103,3
2104,4
2105,4
2106,4
2107,4
2108,4
2109,4
2110,4
2111,4
2112,4
2113,4
2114,4
2115,4
2116,4
2117,4
2118,4
2119,4
2120,4
2121,4
2122,4
2123,4
2124,4
2125,4
2126,4
2127,4
2128,4
2129,4
2130,4
2131,4
2132,4
2133,4
2134,4
2135,4
2136,4
2137,4
2138,4
2139,4
2140,4
2141,1
2142,1
2143,1
2144,1
2145,1
2146,1
2147,4
2148,4
2149,4
2150,4
2151,4
2152,4
2153,4
2154,4
2155,4
2156,4
2157,4
2158,4
2159,4
2160,4
2161,4
2162,4
2163,4
2164,4
2165,4
2166,4
2167,4
2168,4
2169,4
2170,4
2171,4
2172,4
2173,4
2174,4
2175,4
2176,4
2177,4
2178,4
2179,4
2180,4
2181,4
2182,4
2183,4
2184,4
2185,4
2186,4
2187,4
2188,4
2189,2
2190,2
2191,2
2192,2
2193,2
2194,4
2195,4
2196,4
2197,4
2198,4
2199,4
2200,4
2201,4
2202,4
2203,4
2204,4
2205,4
2206,4
2207,4
2208,4
2209,4
2210,4
2211,4
2212,4
2213,4
2214,4
2215,4
2216,4
2217,4
2218,4
2219,4
2220,4
2221,2
2222,2
2223,2
2224,2
2225,2
2226,4
2227,4
2228,4
2229,3
2230,3
2231,4
2232,4
2233,4
2234,4
2235,4
2236,4
2237,4
2238,4
2239,4
2240,4
2241,4
2242,4
2243,4
2244,4
2245,4
2246,4
2247,4
2248,4
2249,4
2250,4
2251,4
2252,4
2253,4
2254,4
2255,4
2256,3
2257,3
2258,1
2259,1
2260,1
2261,2
2262,2
2263,2
2264,2
2265,2
2266,4
2267,4
2268,2
2269,2
2270,3
2271,3
2272,3
2273,3
2274,1
2275,1
2276,1
2277,4
2278,4
2279,4
2280,4
2281,4
2282,4
2283,4
2284,4
2285,2
2286,2
2287,4
2288,4
2289,4
2290,4
2291,4
2292,4
2293,4
2294,2
2295,2
2296,2
2297,2
2298,2
2299,4
2300,4
2301,4
2302,4
2303,4
2304,4
2305,4
2306,4
2307,4
2308,4
2309,3
2310,4
2311,4
2312,4
2313,4
2314,4
2315,4
2316,4
2317,4
2318,4
2319,4
2320,4
2321,4
2322,4
2323,4
2324,4
2325,4
2326,4
2327,2
2328,4
2329,4
2330,4
2331,4
2332,4
2333,4
2334,2
2335,4
2336,4
2337,4
2338,4
2339,4
2340,4
2341,3
2342,3
2343,3
2344,3
2345,3
2346,4
2347,4
2348,4
2349,3
2350,4
2351,2
2352,2
2353,2
2354,2
2355,4
2356,4
2357,4
2358,4
2359,4
2360,4
2361,4
2362,4
2363,4
2364,4
2365,4
2366,4
2367,4
2368,4
2369,4
2370,4
2371,4
2372,4
2373,4
2374,4
2375,4
2376,4
2377,4
2378,4
2379,4
2380,4
2381,4
2382,4
2383,4
2384,4
2385,3
2386,3
2387,4
2388,4
2389,4
2390,4
2391,4
2392,4
2393,4
2394,4
2395,4
2396,4
2397,4
2398,4
2399,2
2400,4
2401,4
2402,4
2403,4
2404,4
2405,4
2406,4
2407,4
2408,4
2409,4
2410,4
2411,4
2412,4
2413,4
2414,4
2415,4
2416,4
2417,4
2418,4
2419,4
2420,4
2421,4
2422,4
2423,4
2424,4
2425,4
2426,4
2427,4
2428,4
2429,4
2430,2
2431,4
2432,4
2433,4
2434,4
2435,4
2436,4
2437,4
2438,4
2439,4
2440,4
2441,4
2442,4
2443,4
2444,4
2445,2
2446,2
2447,4
2448,4
2449,4
2450,4
2451,4
2452,4
2453,4
2454,4
2455,4
2456,4
2457,4
2458,4
2459,4
2460,4
2461,4
2462,1
2463,1
2464,1
2465,1
2466,1
2467,1
2468,1
2469,1
2470,1
2471,1
2472,1
2473,1
2474,1
2475,4
2476,4
2477,4
2478,4
2479,4
2480,4
2481,4
2482,4
2483,4
2484,4
2485,4
2486,3
2487,4
2488,4
2489,4
2490,4
2491,4
2492,4
2493,4
2494,4
2495,4
2496,4
2497,4
2498,4
2499,4
2500,3
2501,3
2502,4
2503,4
2504,4
2505,4
2506,4
2507,4
2508,4
2509,4
2510,2
2511,2
2512,2
2513,2
2514,4
2515,4
2516,4
2517,4
2518,4
2519,4
2520,4
2521,4
2522,3
2523,3
2524,3
2525,4
2526,4
2527,4
2528,4
2529,3
2530,3
2531,3
2532,3
2533,4
2534,4
2535,3
2536,3
2537,3
2538,3
2539,3
2540,3
2541,2
2542,2
2543,2
2544,2
2545,2
2546,4
2547,4
2548,4
2549,4
2550,4
2551,4
2552,4
2553,4
2554,4
2555,4
2556,4
2557,4
2558,4
2559,4
2560,4
2561,4
2562,4
2563,4
2564,4
2565,4
2566,4
2567,4
2568,4
2569,4
2570,2
2571,2
2572,2
2573,2
2574,2
2575,2
2576,2
2577,2
2578,2
2579,4
2580,4
2581,4
2582,4
2583,4
2584,4
2585,4
2586,4
2587,4
2588,4
2589,4
2590,4
2591,4
2592,4
2593,4
2594,4
2595,4
2596,4
2597,4
2598,4
2599,3
2600,3
2601,3
2602,3
2603,1
2604,1
2605,3
2606,3
2607,3
2608,3
2609,3
2610,3
2611,3
2612,3
2613,3
2614,3
2615,3
2616,4
2617,4
2618,4
2619,4
2620,4
2621,4
2622,4
2623,4
2624,4
2625,4
2626,4
2627,4
2628,4
2629,4
2630,4
2631,4
2632,4
2633,4
2634,4
2635,4
2636,4
2637,4
2638,4
2639,4
2640,4
2641,4
2642,4
2643,4
2644,4
2645,4
2646,4
2647,2
2648,2
2649,2
2650,2
2651,4
2652,4
2653,4
2654,4
2655,4
2656,4
2657,4
2658,4
2659,4
2660,4
2661,4
2662,4
2663,4
2664,4
2665,4
2666,2
2667,2
2668,2
2669,2
2670,4
2671,4
2672,2
2673,2
2674,2
2675,4
2676,4
2677,4
2678,4
2679,4
2680,4
2681,4
2682,3
2683,4
2684,4
2685,4
2686,4
2687,4
2688,4
2689,4
2690,4
2691,4
2692,4
2693,4
2694,4
2695,4
2696,4
2697,4
2698,4
2699,4
2700,4
2701,4
2702,4
2703,4
2704,4
2705,4
2706,4
2707,4
2708,4
2709,4
2710,4
2711,4
2712,4
2713,4
2714,4
2715,4
2716,4
2717,4
2718,4
2719,4
2720,4
2721,4
2722,4
2723,4
2724,4
2725,3
2726,3
2727,4
2728,4
2729,4
2730,4
2731,4
2732,4
2733,4
2734,3
2735,3
2736,3
2737,3
2738,4
2739,4
2740,4
2741,1
2742,1
2743,1
2744,1
2745,1
2746,3
2747,3
2748,3
2749,3
2750,2
2751,4
2752,4
2753,4
2754,4
2755,4
2756,4
2757,4
2758,4
2759,4
2760,4
2761,4
2762,3
2763,3
2764,3
2765,3
2766,4
2767,4
2768,4
2769,4
2770,4
2771,4
2772,4
2773,4
2774,4
2775,3
2776,3
2777,3
2778,3
2779,2
2780,2
2781,2
2782,2
2783,1
2784,1
2785,1
2786,1
2787,1
2788,3
2789,3
2790,3
2791,3
2792,4
2793,4
2794,4
2795,4
2796,3
2797,3
2798,3
2799,4
2800,4
2801,4
2802,4
2803,4
2804,4
2805,4
2806,4
2807,4
2808,4
2809,4
2810,4
2811,4
2812,4
2813,4
2814,4
2815,4
2816,4
2817,4
2818,4
2819,4
2820,4
2821,4
2822,4
2823,4
2824,4
2825,4
2826,4
2827,2
2828,2
2829,2
2830,2
2831,2
2832,4
2833,4
2834,2
2835,4
2836,4
2837,4
2838,4
2839,4
2840,4
2841,2
2842,4
2843,4
2844,3
2845,3
2846,3
2847,3
2848,2
2849,2
2850,3
2851,3
2852,3
2853,3
2854,3
2855,4
2856,4
2857,4
2858,4
2859,4
2860,4
2861,4
2862,4
2863,4
2864,4
2865,4
2866,1
2867,1
2868,1
2869,1
2870,4
2871,4
2872,4
2873,4
2874,3
2875,3
2876,3
2877,3
2878,3
2879,3
2880,2
2881,2
2882,2
2883,2
2884,2
2885,2
2886,3
2887,3
2888,4
2889,4
2890,4
2891,4
2892,4
2893,3
2894,4
2895,4
2896,4
2897,4
2898,4
2899,4
2900,4
2901,4
2902,4
2903,4
2904,4
2905,4
2906,2
2907,2
2908,2
2909,2
2910,2
2911,4
2912,4
2913,4
2914,4
2915,4
2916,2
2917,2
2918,2
2919,2
2920,4
2921,4
2922,4
2923,4
2924,4
2925,4
2926,4
2927,1
2928,1
2929,1
2930,3
2931,4
2932,4
2933,3
2934,3
2935,3
2936,2
2937,2
2938,2
2939,2
2940,4
2941,4
2942,4
2943,4
2944,4
2945,4
2946,4
2947,4
2948,4
2949,4
2950,4
2951,4
2952,4
2953,4
2954,4
2955,4
2956,4
2957,4
2958,2
2959,2
2960,2
2961,2
2962,4
2963,4
2964,4
2965,1
2966,1
2967,4
2968,4
2969,4
2970,4
2971,4
2972,4
2973,4
2974,4
2975,4
2976,4
2977,4
2978,4
2979,4
2980,4
2981,4
2982,4
2983,4
2984,4
2985,4
2986,4
2987,4
2988,4
2989,2
2990,2
2991,2
2992,4
2993,4
2994,4
2995,4
2996,2
2997,2
